Fundo,CNPJ,Cota/Classe,Tipo,Data deliberação,Data emissão / 1ª integralização,Data encerramento/oferta,Quantidade,Volume,VNU,Remuneração,Juros/remuneração,Amortização principal,Status/evidência,Fonte,Classe/Série,Amortização/Vencimento,categoria_evidencia,grupo,fundo,nome_curto,cnpj,data_referencia,documento_id,tipo_documento,categoria_documento,source_file,page,termos_encontrados,trecho,fonte_pagina
,,,,,,,,,,,,,,,,,amortizacao,Mercado Crédito,MERCADO CRÉDITO I BRASIL FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,Mercado Crédito I Brasil FIDC,37.511.828/0001-14,12/09/2023,521557,Regulamento,regulamento,data/raw/37511828000114/521557_regulamento_regulamento_521557_2023-09-12.pdf,4,"\bamortiza[cç][aã]o\b, \bdata de pagamento\b","... que não um ou mais dos Acionistas Permitidos; ou (v) qualquer operação ou série de operações nas quais possa ocorrer a fusão da MeLi com ou tra Pessoa ou a transmissão, venda, arrendamento, transferência ou cessão de todas ou partes substanciais do negócio, propriedades ou ativos da MeLi a uma Pessoa em que a MeLi não seja a sociedade prevalecente (exceto por quaisquer fusões que tenham como r esultado a prevalência de um Acionista Permitido). ""Amortização"" A amortização das Cotas em Circulação, ou seja, o pagamento aos Cotistas de parcela do valor de suas Cotas, sem redução de seu número, que será realizada nos termos previstos nos Capítulos Doze e Quatorze deste Regulamento. “Amortização Acelerada” O regime de Amortização das Cotas, a ser adotado pelo Administrador em caso de ocorrência de um Evento de Amortização Acelerada, de um Evento de Resilição Qualificada, Evento de Pagamento Qualif icado...",521557_regulamento_regulamento_521557_2023-09-12.pdf p.4
,,,,,,,,,,,,,,,,,amortizacao,Mercado Crédito,MERCADO CRÉDITO I BRASIL FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,Mercado Crédito I Brasil FIDC,37.511.828/0001-14,12/09/2023,521557,Regulamento,regulamento,data/raw/37511828000114/521557_regulamento_regulamento_521557_2023-09-12.pdf,10,"\bamortiza[cç][aã]o\b, \bresgate\b","10 emitidas pelo Fundo, quando referidas em conjunto ou indistintamente, cujos termos e condições para integralização, direitos de Amortização e outras características estão descritas neste Regulamento. ""Cota Inadimplida” ou “Cotas Inadimplidas"" Quaisquer Cotas Seniores ou Cotas Subordinadas subscritas e que não tenham sido integralizadas no contexto de uma Chamada de Capital, na forma prevista neste Regulamento e no respectivo Compromisso de Investimento. ""Cotas Seniores"" As cotas de classe sênior emitidas pelo Fundo, as quais não se subordinam às demais para efeito de Amortização, re...",521557_regulamento_regulamento_521557_2023-09-12.pdf p.10
,,,,,,,,,,,,,,,,,amortizacao,Mercado Crédito,MERCADO CRÉDITO I BRASIL FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,Mercado Crédito I Brasil FIDC,37.511.828/0001-14,12/09/2023,521557,Regulamento,regulamento,data/raw/37511828000114/521557_regulamento_regulamento_521557_2023-09-12.pdf,11,\bvencimento\b,"...to inicialmente prevista, para os Direitos Creditórios CCB; e (ii) para os Direitos Creditórios PPV, aqueles com Período em Atraso superior a 30 (trinta) dias, calculado conforme metodologia descrita no Anexo VI deste Regulamento. “Créditos Inadimple ntes Relevantes” Os Direitos Creditórios Para Fins de Enquadramento relativamente aos quais (i) (a) qualquer pagamento permanecer inadimplente por período superior a 90 (noventa) dias após a data de vencimento inicialmente prevista, para os Direitos Creditórios CCB; e (b) para os Direitos Creditórios PPV, aqueles com Período em Atraso superior a 90 (noventa) dias, calculado conforme metodologia descrita no Anexo VI deste Regulamento; e (ii) tenham sido identificados pelo Agente de Cobrança CCB como incobráveis; ou (iii) cujo respectivo Devedor CCB, no melhor conhecimento do Mercado Pago, (1) tenha se declarado insolvente; ou (2) tenha a sua insolvênci...",521557_regulamento_regulamento_521557_2023-09-12.pdf p.11
,,,,,,,,,,,,,,,,,amortizacao,Mercado Crédito,MERCADO CRÉDITO I BRASIL FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,Mercado Crédito I Brasil FIDC,37.511.828/0001-14,12/09/2023,521557,Regulamento,regulamento,data/raw/37511828000114/521557_regulamento_regulamento_521557_2023-09-12.pdf,12,"\bamortiza[cç][aã]o\b, \bdata de pagamento\b, \bresgate\b","... a aquisição e o pagamento do Preço de Aquisição dos Direitos Creditórios pelo Fundo ao respectivo Cedente. “Data de Cálculo” o 10º (décimo) dia de cada mês calendário “Data de Integralização” Cada data em que ocorrer a integralização de Cotas do Fundo, respectivamente, seja a Data da Primeira Integralização ou outra data em que houver integralização de Cotas em decorrência de cada Chamada de Capital subsequente e/ou de novas emissões de Cotas. “Data de Pagamento” Cada data de amortização de cada Cota Sênior para fins de pagamento de rendimentos e/ou principal aos Cotistas, as quais estarão determinadas no respectivo Suplemento, observado que o efetivo pagamento está sujeito à disponibilidade de caixa do Fundo. Se tal data não for um Dia Útil, a Data de Pagamento correspondente será o Dia Útil imediatamente subsequente. “Data de Resgate” A data de resgate das Cotas de cada classe, a qual ocorrerá (i) na ...",521557_regulamento_regulamento_521557_2023-09-12.pdf p.12
,,,,,,,,,,,,,,,,,amortizacao,Mercado Crédito,MERCADO CRÉDITO I BRASIL FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,Mercado Crédito I Brasil FIDC,37.511.828/0001-14,12/09/2023 10:00,521510,AGE,assembleia,data/raw/37511828000114/521510_assembleia_assembleia_521510_2023-09-12.pdf,1,\bamortiza[cç][aã]o\b,"...or. 4. COMPOSIÇÃO DA MESA: Presidente: Rodrigo de Godoy ; Secretári a: Cíntia Sant’ana de Oliveira. 5. ORDEM DO DIA: Deliberar, na forma da presente ata de Assembleia Geral Extraordinária de Cotistas (“Ata”), sobre: (i) a alteração dos itens (iv) e (vi) da Cláusula 7.4 do Regulamento; (ii) a alteração do item (h) e inclusão de novo item (t) relacionado aos Limites de Concentração descritos Anexo VIII do Regulamento; (iii) a alteração da Forma de Amortização prevista no Suplemento de Cotas Seniores da Primeira Emissão e no Suplemento de Cotas Seniores da Segunda Emissão, os quais passam a vigorar na forma do Anexo I e do Anexo II a esta Ata, respectivamente; (iv) em decorrência da aprovação do item (iii) acima, a ratificação do entendimento pelos Cotistas de que a amortização das Cotas Seniores da Primeira Emissão e das Cotas Seniores da Segunda Emissão devidas aos Cotistas Seniores anterior à prese...",521510_assembleia_assembleia_521510_2023-09-12.pdf p.1
,,,,,,,,,,,,,,,,,amortizacao,Mercado Crédito,MERCADO CRÉDITO I BRASIL FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,Mercado Crédito I Brasil FIDC,37.511.828/0001-14,12/09/2023 10:00,521510,AGE,assembleia,data/raw/37511828000114/521510_assembleia_assembleia_521510_2023-09-12.pdf,3,\bamortiza[cç][aã]o\b,"3 728393214.1 “(t) máximo de 0,5% (cinco décimos por cento) dos Direitos Creditórios Adquiridos relacionados a um único Devedor.” (iii) a alteração da Forma de Amortização prevista no Suplemento de Cotas Seniores da Primeira Emissão e no Suplemento de Cotas Seniores da Segunda Emissão, os quais passam a vigorar na forma do Anexo I e do Anexo II a esta Ata, respectivamente; (iv) a ratificação do entendime nto pelos Cotistas de que a amortização das Cotas Seniores da Primeira Emissão e das Cotas Seniores da Segunda Emissão devida aos Cotistas Seniores anterior à presente data (referente aos meses de junho, julho e a...",521510_assembleia_assembleia_521510_2023-09-12.pdf p.3
,,,,,,,,,,,,,,,,,amortizacao,Mercado Crédito,MERCADO CRÉDITO I BRASIL FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,Mercado Crédito I Brasil FIDC,37.511.828/0001-14,12/09/2023 10:00,521510,AGE,assembleia,data/raw/37511828000114/521510_assembleia_assembleia_521510_2023-09-12.pdf,6,"\bamortiza[cç][aã]o\b, \bresgate\b","... valor a ser aportado no Fundo por meio de integralização de Cotas Seniores estará limitada ao Valor Máximo de Investimento e ao Capital Comprometido Individual de cada Cotista Sênior, sem prejuízo de suas obrigações de aporte em caso de Patrimônio Líquido negativo. Prazo para Distribuição 6 (seis) meses, podendo a Oferta Restrita ser encerrada previamente em caso de colocação da totalidade das Cotas previamente ao encerramento do prazo. Data de Resgate 3 (três) anos contados a partir de 25 de maio de 2021. Forma de Amortização Principal: Sujeito à disponibilidade de caixa pelo Fundo, bem como à ordem de alocação prevista no Regulamento, os valores a título de amortização de principal das Cotas Seniores serão pagos mensalmente, a partir do mês imediatamente subsequente ao mês da Data Limite de Investimento em Direitos Creditórios das Cotas Seniores da Terceira Emissão, até o resgate integral da...",521510_assembleia_assembleia_521510_2023-09-12.pdf p.6
,,,,,,,,,,,,,,,,,amortizacao,Mercado Crédito,MERCADO CRÉDITO I BRASIL FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,Mercado Crédito I Brasil FIDC,37.511.828/0001-14,12/09/2023 10:00,521510,AGE,assembleia,data/raw/37511828000114/521510_assembleia_assembleia_521510_2023-09-12.pdf,7,"\bamortiza[cç][aã]o\b, \bdata de pagamento\b, \bresgate\b","8 728393214.1 Para fins de cálculo, o Gestor disponibilizará ao Administrador (a) diariamente memória de cálculo para o Bench mark e (b) na Data de Pagamento, memória de cálculo do Rendimento Adicional, na forma do Anexo A a este Suplemento, para que seja apurada e validada pelo Administrador. Benchmark: o parâmetro de rentabilidade a ser buscado pelo Fundo para as Cotas Seniores subscritas e devidamente integralizadas (sem qualquer garantia de pagamento) será equivalente ao previsto a seguir, o qual será valorizado diariamente: (i) Benchmark Regular: Taxa DI acrescida de 2,50% (dois inteiros e cinqu...",521510_assembleia_assembleia_521510_2023-09-12.pdf p.7
,,,,,,,,,,,,,,,,,amortizacao,Mercado Crédito,MERCADO CRÉDITO I BRASIL FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,Mercado Crédito I Brasil FIDC,37.511.828/0001-14,12/09/2023 10:00,521510,AGE,assembleia,data/raw/37511828000114/521510_assembleia_assembleia_521510_2023-09-12.pdf,9,"\bdata de pagamento\b, \bvencimento\b","...(duzentos e cinquenta milhões de reais); e (ii) a soma dos (a) rendimentos, calculados conforme o Benchmark, efetivamente pagos durante os 6 (seis) meses anteriores; e (b) quaisquer rendimentos, calculados conforme o Rendimento Não Utilização, pagos durante os 6 (seis) meses anteriores, conforme memória de cálculo apresentada na forma do Anexo A a este Suplemento. Observado que: nenhum Rendimento Utilização Mínima será devido na primeira data de vencimento do Rendimento Utilização Mínima, observado que a primeira data de vencimento será contada a partir do dia 21 maio de 2021; (ii) a partir do 12º (décimo segundo) mês contado de 25 de maio de 2021, inclusive, até a Data Limite de Investimento em Direitos Creditórios, cada pagamento de Remuneração Utilização Mínima ocorrerá em cada Data de Pagamento correspondente ao cálculo. Condições Resolutivas As Cotas subscritas, mas não integralizadas, poderã...",521510_assembleia_assembleia_521510_2023-09-12.pdf p.9
,,,,,,,,,,,,,,,,,amortizacao,Mercado Crédito,MERCADO CRÉDITO I BRASIL FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,Mercado Crédito I Brasil FIDC,37.511.828/0001-14,13/06/2025,939685,Regulamento,regulamento,data/raw/37511828000114/939685_regulamento_regulamento_939685_2025-06-13.pdf,2,\bamortiza[cç][aã]o\b,"... FINANCEIROS INTEGRANTES DA CARTEIRA DO FUNDO ...................................................... 56 CAPÍTULO DÉCIMO – DAS CARACTERÍSTICAS, DIREITOS, CONDIÇÕES DE EMISSÃO, SUBSCRIÇÃO E INTEGRALIZAÇÃO DAS COTAS ................................................................................................ 56 CAPÍTULO DÉCIMO PRIMEIRO – DA ASSEMBLEIA GERAL DE COTISTAS ............................................. 65 CAPÍTULO DÉCIMO SEGUNDO – DA AMORTIZAÇÃO DAS COTAS ........................................................ 82 CAPÍTULO DÉCIMO TERCEIRO – DOS EVENTOS DE AVALIAÇÃO E LIQUIDAÇÃO DO FUNDO ........ 84 CAPÍTULO DÉCIMO QUARTO – DA AMORTIZAÇÃO ACELERADA, LIQUIDAÇÃO EXTRAORDINÁRIA DO FUNDO E AMORTIZAÇÃO FINAL DE COTAS ........................................................... 89 CAPÍTULO DÉCIMO QUINTO – DOS ENCARGOS DO FUNDO .............................................................. 92 CA...",939685_regulamento_regulamento_939685_2025-06-13.pdf p.2
,,,,,,,,,,,,,,,,,amortizacao,Mercado Crédito,MERCADO CRÉDITO I BRASIL FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,Mercado Crédito I Brasil FIDC,37.511.828/0001-14,13/06/2025,939685,Regulamento,regulamento,data/raw/37511828000114/939685_regulamento_regulamento_939685_2025-06-13.pdf,6,\bamortiza[cç][aã]o\b,"...s que não um ou mais dos Acionistas Permitidos; ou (iv) qualquer operação ou série de operações nas quais possa ocorrer a fusão da MeLi com outra Pessoa ou a transmissão, venda, arrendamento, transferência ou cessão de todas ou partes substanciais do negócio, propriedades ou ativos da MeLi a uma Pessoa em que a MeLi não seja a sociedade prevalecente (exceto por quaisquer fusões que tenham como resultado a prevalência de um Acionista Permitido). “Amortização” (Amortization) Significa a amortização das Cotas em Circulação, ou seja, o pagamento aos Cotistas de parcela do valor de suas Cotas, sem redução de seu número, que será realizada nos termos previstos nos Capítulo Décimo segundo e Capítulo Décimo quarto deste Regulamento. “Amortização Final” Significa a amortização final das Cotas. “Amortização Acelerada” (Accelerated Amortization) Significa o regime de Amortização das Cotas, a ser adotado pelo ...",939685_regulamento_regulamento_939685_2025-06-13.pdf p.6
,,,,,,,,,,,,,,,,,amortizacao,Mercado Crédito,MERCADO CRÉDITO I BRASIL FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,Mercado Crédito I Brasil FIDC,37.511.828/0001-14,13/06/2025,939685,Regulamento,regulamento,data/raw/37511828000114/939685_regulamento_regulamento_939685_2025-06-13.pdf,7,"\bamortiza[cç][aã]o\b, \bdata de pagamento\b","7 Subordinated Quotas) “Amortização Sênior” (Senior Amortization) Significa a Amortização da Cota Sênior, realizada em determinada Data de Pagamento nos termos do seu Apêndice, desde que o Fundo disponha de caixa para referido pagamento, calculada nos termos previstos no Capítulo Décimo segundo deste Regulamento, sendo certo que a Amortização da Cota Sênior ensejará apenas a redução do seu Valor Nominal Unitário Atualizado, mas não a sua Amortização Final, para todos os fins de di...",939685_regulamento_regulamento_939685_2025-06-13.pdf p.7
,,,,,,,,,,,,,,,,,amortizacao,Mercado Crédito,MERCADO CRÉDITO I BRASIL FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,Mercado Crédito I Brasil FIDC,37.511.828/0001-14,13/06/2025,939685,Regulamento,regulamento,data/raw/37511828000114/939685_regulamento_regulamento_939685_2025-06-13.pdf,14,\bamortiza[cç][aã]o\b,"14 (Quota or Quotas) Mezanino e/ou as Cotas Subordinadas Júnior emitida s pelo Fundo, quando referidas em conjunto ou indistintamente, cujos termos e condições para integralização, direitos de Amortização e outras características estão descritas neste Regulamento. ""Cota Inadimplida” ou “Cotas Inadimplidas"" (Unpaid Quota or Unpaid Quotas) Significam quaisquer Cotas que tenham sido subscritas e que não tenham sido devidamente integralizadas no contexto de uma Chamada de Capital, na forma prevista neste Regulamento , no respectivo Compromisso de Investimento e/ou no boletim de subscrição, conforme o caso. “Cotas em Circulação” (Outstanding Quotas) S...",939685_regulamento_regulamento_939685_2025-06-13.pdf p.14
,,,,,,,,,,,,,,,,,amortizacao,Mercado Crédito,MERCADO CRÉDITO I BRASIL FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,Mercado Crédito I Brasil FIDC,37.511.828/0001-14,13/06/2025,939685,Regulamento,regulamento,data/raw/37511828000114/939685_regulamento_regulamento_939685_2025-06-13.pdf,15,\bamortiza[cç][aã]o\b,"15 (Outstanding Subordinated Junior Quotas) Amortização Final ou canceladas pelo Fundo. ""Cotas Subordinadas Mezanino"" (Subordinated Mezzanine Quotas) Significam as cotas de subclasse subordinada mezanino emitidas pelo Fundo, as quais se subordinam à Cota Sênior para efeito de Amortização, Amortização Final e distribuição dos rendimentos da Carteira, nos termos deste Regulamento, sendo que, para os mesmos fins, não estão subordinadas às Cotas Subordinadas Júnior, nos termos deste Regulamento e o respe...",939685_regulamento_regulamento_939685_2025-06-13.pdf p.15
,,,,,,,,,,,,,,,,,amortizacao,Mercado Crédito,MERCADO CRÉDITO I BRASIL FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,Mercado Crédito I Brasil FIDC,37.511.828/0001-14,13/06/2025 10:00,939684,AGE,assembleia,data/raw/37511828000114/939684_assembleia_assembleia_939684_2025-06-13.pdf,2,\bamortiza[cç][aã]o\b,"...”, “Transferências Permitidas”, “Valor Máximo de Investimento Mezanino” e “Valor Integralizado”; b. the inclusion of the definition of “Mezzanine Benchmark”, “Competitors, Subordinated Mezzanine Quotas”, “Outstanding Subordinated Mezzanine Quotas” “Just Cause”, “Mezzanine Profitability Target”, “Permitted Transfers”, “Maximum Mezzanine Value” and “Paid-in Amount”; c. a alteração da definição de “Direito de Dissidência” para permitir o direito da Amortização Final das Cotas Subordinadas Mezanino pelos Cotistas Subordinados Mezanino, em caso de decisão pela Assembleia Geral contrária a certas deliberações indicadas no Regulamento; c. the amendment to the definition of “Right of Dissent” to allow the Subordinated Mezzanine Quotaholders to exercise the right to the Final Amortization of their Subordinated Mezzanine Quotas, in the event of a resolution by the Quotaholders’ Meeting contrary to certain ma...",939684_assembleia_assembleia_939684_2025-06-13.pdf p.2
,,,,,,,,,,,,,,,,,amortizacao,Mercado Crédito,MERCADO CRÉDITO I BRASIL FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,Mercado Crédito I Brasil FIDC,37.511.828/0001-14,13/06/2025 10:00,939684,AGE,assembleia,data/raw/37511828000114/939684_assembleia_assembleia_939684_2025-06-13.pdf,3,"\bamortiza[cç][aã]o\b, \bvencimento\b","...denominada “Razão de Subordinação Júnior” para refletir novos cálculos de subordinação mínima para o Fundo considerando a emissão das Cotas Subordinadas Mezanino; g. the amendment to the definition currently referred to as “Subordination Ratio” (to be renamed “Minimum Junior Ratio”) to reflect the new minimum subordination calculations for the Fund in light of the issuance of the Subordinated Mezzanine Quotas; h. a inclusão de nova definição de ""Amortização Extraordinária da Cota Sênior para Fins da Senioridade Máxima” que prevê a amortização extraordinária da Cota Sênior para fins de reenquadramento da Senioridade Máxima; h. the inclusion of a new definition of “Extraordinary Amortization of Senior Quota for Purposes of Maximum Seniority,” which provides for the extraordinary amortization of the Senior Quota in order to reestablish compliance with the Maximum Seniority requirements; i. a alteração...",939684_assembleia_assembleia_939684_2025-06-13.pdf p.3
,,,,,,,,,,,,,,,,,amortizacao,Mercado Crédito,MERCADO CRÉDITO I BRASIL FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,Mercado Crédito I Brasil FIDC,37.511.828/0001-14,13/06/2025 10:00,939684,AGE,assembleia,data/raw/37511828000114/939684_assembleia_assembleia_939684_2025-06-13.pdf,4,\bamortiza[cç][aã]o\b,"... Razão de Subordinação Júnior” no novo item (vi)(b) da Cláusula 11.1; s. the inclusion of the phrase “or the Minimum Junior Ratio” in the new item (vi)(b) of Section 11.1; t. a inclusão do trecho “e/ou a Data Limite para Aquisição de Direitos Creditórios” no novo item (vi)(h) da Cláusula 11.1; t. the inclusion of the wording “and/or the Revolving Period” in the new item (vi)(h) of Section 11.1; u. a inclusão do trecho “em data diversa da Data de Amortização Final estabelecida no respectivo Apêndice” no novo item (vi)(k) da Cláusula 11.1; u. the inclusion of the wording “on a date other than the Redemption Date established in the respective Complement” in the new item (vi)(k) of Section 11.1; v. a inclusão dos novos itens (m) e (n) no novo item (vi) da Cláusula 11.1, para prever a deliberação pelos Cotistas sobre: (i) a alteração do Regulamento referente à Amortização Final da v. the inclusion of ne...",939684_assembleia_assembleia_939684_2025-06-13.pdf p.4
,,,,,,,,,,,,,,,,,amortizacao,Mercado Crédito,MERCADO CRÉDITO I BRASIL FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,Mercado Crédito I Brasil FIDC,37.511.828/0001-14,13/06/2025 10:00,939684,AGE,assembleia,data/raw/37511828000114/939684_assembleia_assembleia_939684_2025-06-13.pdf,5,\bamortiza[cç][aã]o\b,- 5 - Cota Subordinada Mezanino em data diversa da Data de Amortização Final estabelecida no respectivo Apêndice; e (ii) qualquer alteração relacionada aos direitos e às características das Cotas Subordinadas Mezanino que não estejam previstas nos demais itens da Cláusula 11.1; concerning the Final Amortization of the Mezzanine Subordinated Quota on a date other than the Redemption Date set forth in the respective Complement; and (ii) any amendments related to the rights and characteristics of the Mezzanine Subordi...,939684_assembleia_assembleia_939684_2025-06-13.pdf p.5
,,,,,,,,,,,,,,,,,amortizacao,Mercado Crédito,MERCADO CRÉDITO I BRASIL FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,Mercado Crédito I Brasil FIDC,37.511.828/0001-14,13/06/2025 10:00,939684,AGE,assembleia,data/raw/37511828000114/939684_assembleia_assembleia_939684_2025-06-13.pdf,7,\bvencimento\b,"- 7 - ll. a inclusão do novo item (v) no novo Anexo VIII – Limites de Concentração para estabelecer limite de concentração aplicável aos Direitos Creditórios CCB Comerciante Adquiridos que possuam prazo de vencimento superior a 24 (vinte e quatro) meses; ll. the inclusion of new item (v) in the new Annex VIII – Concentration Limits to establish a concentration limit applicable to Acquired CCB Merchant Credit Rights with a maturity term exceeding 24 (twenty-four) months; mm. a alteração de outros itens do Regulamento que se mostraram necessárias para refletir a estrutura e as condições da nova emissão de Cotas Subordinadas Mezanino, incluindo ajustes redacion...",939684_assembleia_assembleia_939684_2025-06-13.pdf p.7
,,,,,,,,,,,,,,,,,amortizacao,Mercado Crédito,MERCADO CRÉDITO I BRASIL FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,Mercado Crédito I Brasil FIDC,37.511.828/0001-14,14/10/2022,366675,Regulamento,regulamento,data/raw/37511828000114/366675_regulamento_regulamento_366675_2022-10-14.pdf,2,"\bamortiza[cç][aã]o\b, \bresgate\b","....................................................... Erro! Indicador não definido. CAPÍTULO DEZ - DAS CARACTERÍSTICAS, DIREITOS, CONDIÇÕES DE EMISSÃO, SUBSCRIÇÃO E INTEGRALIZAÇÃO DAS COTAS ................................................................................................... Erro! Indicador não definido. CAPÍTULO ONZE – DA ASSEMBLEIA GERAL DE COTISTAS ................................. Erro! Indicador não definido. CAPÍTULO DOZE – DA AMORTIZAÇÃO E DO RESGATE ORDINÁRIO DAS COTAS . Erro! Indicador não definido. CAPÍTULO TREZE – DOS EVENTOS DE AVALIAÇÃO E LIQUIDAÇÃO DO FUNDO ... Erro! Indicador não definido. CAPÍTULO QUATORZE – DA AMORTIZAÇÃO ACELERADA, LIQUIDAÇÃO EXTRAORDINÁRIA DO FUNDO E RESGATE ANTECIPADO DE COTAS ................................................................................ Erro! Indicador não definido. CAPÍTULO QUINZE – DOS ENCARGOS DO FUNDO ...........................",366675_regulamento_regulamento_366675_2022-10-14.pdf p.2
,,,,,,,,,,,,,,,,,amortizacao,Mercado Crédito,MERCADO CRÉDITO I BRASIL FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,Mercado Crédito I Brasil FIDC,37.511.828/0001-14,14/10/2022,366675,Regulamento,regulamento,data/raw/37511828000114/366675_regulamento_regulamento_366675_2022-10-14.pdf,6,"\bamortiza[cç][aã]o\b, \bdata de pagamento\b","13 ""Amortização"" A amortização das Cotas em Circulação, ou seja, o pagamento aos Cotistas de parcela do valor de suas Cotas, sem redução de seu número, que será realizada nos termos previstos nos Capítulos Doze e Quatorze deste Regulamento. “Amortização Acelerada” O regime de Amortização das Cotas, a ser adotado pelo Ad ministrador em caso de ocorrência de um Evento de Amortização Acelerada, de um Evento de Resilição Qualificada, Evento de Pagamento Qualificado...",366675_regulamento_regulamento_366675_2022-10-14.pdf p.6
,,,,,,,,,,,,,,,,,amortizacao,Mercado Crédito,MERCADO CRÉDITO I BRASIL FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,Mercado Crédito I Brasil FIDC,37.511.828/0001-14,14/10/2022,366675,Regulamento,regulamento,data/raw/37511828000114/366675_regulamento_regulamento_366675_2022-10-14.pdf,13,"\bamortiza[cç][aã]o\b, \bresgate\b","20 Fundo para distribuição pública das Cotas Seniores, sendo o Coordenador Líder da Primeira Emissão de Cotas Seniores a BRL. ""Cota” ou “Cotas"" Quaisquer Cotas Seniores e/ou Cotas Subordinadas emitidas pelo Fundo, quando referidas em conjunto ou indistintamente, cujos termos e condições para integralização, direitos de Amortização e outras características estão descritas neste Regulamento. ""Cota Inadimplida” ou “Cotas Inadimplidas"" Quaisquer Cotas Seniores ou Cotas Subordinadas subscritas e que não tenham sido integralizadas no contexto de uma Chamada de Capital, na forma prevista neste Regulamento e no respectivo Compromisso de Investimento. ""Cotas Seniores"" As cotas de classe sênior emitidas pelo Fundo, as quais não se subordinam às demais para efeito de Amortização, re...",366675_regulamento_regulamento_366675_2022-10-14.pdf p.13
,,,,,,,,,,,,,,,,,amortizacao,Mercado Crédito,MERCADO CRÉDITO I BRASIL FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,Mercado Crédito I Brasil FIDC,37.511.828/0001-14,14/10/2022,366675,Regulamento,regulamento,data/raw/37511828000114/366675_regulamento_regulamento_366675_2022-10-14.pdf,14,\bvencimento\b,"...minante dos créditos devidos pelos Devedores CCB Comerciante ou Cedentes PPV classificados pelo Mercado Pago como categoria “A” ou “B”; e (ii) o Devedor CCB Comerciante ou Cedente PPV seja classificado pelo Mercado Pago como categoria “A” ou “B”. “Créditos Inadimplentes” Os Direitos Creditórios Para Fins de Enquadramento relativamente aos quais (i) qualquer pagamento, permanecer inadimplente por período superior a 30 (trinta) dias após a data de vencimento inicialmente prevista, para os Direitos Creditórios CCB; e (ii) para os Direitos Creditórios PPV, aqueles com Período em Atraso superior a 30 (trinta) dias, calculado conforme metodologia descrita no Anexo VI deste Regulamento. “Créditos Inadimplentes Relevantes” Os Direitos Creditórios Para Fins de Enquadramento relativamente aos quais (i) (a) qualquer pagamento permanecer inadimplente por período superior a 180 (cento e oitenta) dias após a da...",366675_regulamento_regulamento_366675_2022-10-14.pdf p.14
,,,,,,,,,,,,,,,,,amortizacao,Mercado Crédito,MERCADO CRÉDITO I BRASIL FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,Mercado Crédito I Brasil FIDC,37.511.828/0001-14,14/10/2022,366675,Regulamento,regulamento,data/raw/37511828000114/366675_regulamento_regulamento_366675_2022-10-14.pdf,16,"\bamortiza[cç][aã]o\b, \bdata de pagamento\b, \bresgate\b","23 Chamada de Capital subsequente e/ou de novas emissões de Cotas. “Data de Pagamento” Cada data de amortização de cada Cota Sênior para fins de pagamento de rendimentos e/ou principal aos Cotistas, as quais estarão determinadas no respectivo Suplemento, observado que o efetivo pagamento está sujeito à disponibilidade de caixa do Fundo. Se tal data não for um Dia Útil, a Data de Pagamento correspondente será o Dia Útil imediatamente subsequente. “Data de Resgate” A data de resgate das Cotas de cada classe, a qual ocorrerá (i) na ...",366675_regulamento_regulamento_366675_2022-10-14.pdf p.16
